STT,Khoản mục BCTC,Báo cáo,"Giải thích, ý nghĩa, ví dụ",Phương thức kiểm tra / điều kiện đảm bảo,Mẫu kiểm toán,Bằng chứng,Loại sai sót cơ bản / thường gặp / nâng cao,Cách khắc phục,Mức độ (Trọng yếu/Không trọng yếu)
66,LNST chưa phân phối (421=421a+421b),B01 – Vốn CSH,Lãi/lỗ chưa PP; 421b khớp B02 Mã 60 (sau PP trong kỳ).,Bảng biến động VCSH; NQ PP; khớp 421b↔LNST.,100% dòng biến động.,B02; NQ cổ tức/quỹ; sổ 421.,Cơ bản: lệch B02. Thường gặp: chia cổ tức khi không đủ LN. Nâng cao: ĐC thẳng VCSH che lỗ B02.,ĐC phân phối; đồng bộ B01/B02.,TW-Cao
67,Nguồn vốn ĐTXDCB (422) & Nguồn kinh phí (430–432),B01 – Vốn/nguồn,Nguồn XDCB; kinh phí SN/dự án; nguồn đã hình thành TSCĐ.,QĐ cấp; CT chi; quyết toán; khớp TSCĐ.,100% nếu PS TW.,QĐ cấp; CT chi; QT dự án.,Chi sai mục đích; không QT.,ĐC nguồn/TS/CP; kiến nghị thu hồi nếu sai.,TW-TB (DNNN/sự nghiệp)
68,Tổng cộng nguồn vốn (Mã 440),B01 – BCĐKT,Phải = Tổng TS 270.,Cộng kiểm; 270=440.,N/A.,Bảng CĐKT.,Mất cân đối.,ĐC khoản mục chi tiết.,TW-Cao nếu lệch
69,Doanh thu BH & CC DV (Mã 01),B02 – KQHĐKD,Tổng DT trước giảm trừ; không gồm thuế GTGT/XK/TTĐB. Giả định rủi ro gian lận VSA 240.,VAS 14; phân tích tháng/quý; vouching; cut-off ±7–15 ngày; XN điều khoản; ĐC thuế; tách nội bộ/bên LQ.,100% HĐ>PM; top KH; bên LQ TW; mẫu dày T12.,HĐ/PO; HĐĐT; PXK; vận đơn; BBNT; thư XN; tờ khai thuế; side letter.,Cơ bản: sai giá/SL/TG. Thường gặp: ghi DT chưa NT; quên tách thuế. Nâng cao: channel stuffing; round-tripping; fake HĐ; pull-in; bill-and-hold.,Giảm DT(&PT); tăng tồn; chỉnh GV; thông báo Ban QT nếu gian lận.,TW-Cao + Định tính
70,Các khoản giảm trừ DT (Mã 02),B02 – KQHĐKD,"CKTM, giảm giá, hàng bán bị trả lại (521).",CS CKTM; phê duyệt; hàng trả sau khóa sổ = sự kiện ĐC; không đẩy sang CPBH.,100% lớn; mẫu phiếu trả quanh khóa sổ.,PNT trả; HĐ ĐC; NQ giảm giá.,Thường gặp: quên giảm trừ. Nâng cao: đẩy trả hàng sang kỳ sau.,Tăng 02/giảm 10; ĐC tồn & PT.,TW-Cao
71,Doanh thu thuần (Mã 10=01−02),B02 – KQHĐKD,DT sau giảm trừ – chỉ tiêu phân tích cốt lõi.,KS công thức; TM theo dòng DT.,N/A (phái sinh).,B02; TM DT.,Sai CT; TM không khớp.,Sửa 01/02/TM.,TW-Cao
72,Giá vốn hàng bán (Mã 11),B02 – KQHĐKD,Vốn hàng/DV đã bán → LN gộp.,Tồn đầu+Nhập−Tồn cuối; tính lại giá xuất; khớp 141; cut-off; hao hụt; biên gộp.,Mẫu phiếu xuất; 100% ĐC lớn vào 632.,Giá thành; PXK; BB kiểm kê; NQ hao hụt.,Cơ bản: sai giá xuất. Thường gặp: lệch tồn cuối. Nâng cao: giảm GV bằng thổi tồn; tăng GV giảm thuế.,ĐC 11↔141/CP.,TW-Cao
73,Lợi nhuận gộp (Mã 20=10−11),B02 – KQHĐKD,Chỉ báo sức khỏe KD cốt lõi. VD: biên gộp 25%.,Phân tích biên theo SP/tháng/ngành; giải thích BĐ; ĐC CFO.,Toàn bộ PA + khoan sâu biên bất thường.,Bảng PA biên; dữ liệu ngành.,Biên tăng đột biến không giải thích → dấu hiệu đỏ.,ĐC 10/11; nêu chất lượng LN.,TW-Cao (phân tích)
74,Doanh thu HĐ tài chính (Mã 21),B02 – KQHĐKD,"Lãi TG/cho vay, cổ tức, FX, bán CK… (515).",Vouching HĐ; cổ tức có quyền hưởng; tính lại FX.,Key items; 100% cổ tức/lãi lớn.,HĐ TG; sao kê lãi; NQ chia tức; bảng FX.,Thường gặp: ghi lãi/cổ tức chưa hưởng. Nâng cao: lãi ảo CK nội bộ.,Đảo DT TC; ĐC PT lãi.,TW-TB
75,Chi phí tài chính (Mã 22),B02 – KQHĐKD,"Lãi vay, lỗ FX, lỗ CK, CKTT…",Tính lại lãi vs dư vay; XN NH; vốn hóa lãi 242 đủ ĐK?.,100% lãi vay; mẫu FX/lỗ CK.,HĐTD; thư NH; bảng VH lãi.,Thường gặp: thiếu lãi cuối kỳ; VH sai. Nâng cao: chuyển lãi thành TS.,Bổ sung CP lãi hoặc giảm TS DD.,TW-Cao
76,Trong đó: Chi phí lãi vay (Mã 23),B02 – KQHĐKD,Phần lãi vay – ĐC trực tiếp 320/338/315.,Tách lãi vay; khớp vay BQ × LS.,100%.,Bảng tính lãi; UNC trả lãi.,Gộp nhầm; thiếu TM.,Tách đúng; ĐC số.,TW-TB đến Cao
77,Chi phí bán hàng (Mã 24),B02 – KQHĐKD,"Marketing, VC bán, hoa hồng, BH…",PA 24/DT; vouching; cut-off; PB; bên LQ; không đẩy trả trước/TSCĐ sai.,Key items cuối kỳ; mẫu HĐ QC/VC; 100% bên LQ.,HĐ; HĐĐT; BBNT; UNC.,Cơ bản: sai TK. Thường gặp: thiếu cut-off. Nâng cao: HĐ khống / giấu CP.,Ghi đúng kỳ/khoản mục; loại HĐ không hợp lệ.,TW-TB đến Cao
78,Chi phí quản lý DN (Mã 25),B02 – KQHĐKD,"Lương QP, DV mua ngoài, DP PT, CCDC…",Như 24 + DP 137; quỹ lương; đậu 151/261/242; search unrecorded expenses.,Key items; BT thủ công cuối kỳ; mẫu không HĐ.,Bảng lương; HĐ thuê ngoài; bảng DP; CT sau kỳ.,Thường gặp: thiếu CP T12. Nâng cao: chi hộ CN; vốn hóa che CP; thổi CP.,ĐC CP/TS/DP; đánh giá gian lận.,TW-Cao
79,LN thuần từ HĐKD (Mã 30),B02 – KQHĐKD,KQ KD cốt lõi trước HĐ khác.,KS CT; nếu 30 thấp mà 50 cao nhờ 31 → chất lượng LN yếu.,PA cấu trúc LN.,B02; TM.,Phụ thuộc TN khác làm đẹp LN.,Nhấn mạnh ĐG; ĐC thành phần.,TW-Cao (phân tích)
80,Thu nhập khác (Mã 31),B02 – KQHĐKD,"Thanh lý TSCĐ, bồi thường… không thường xuyên.",Vouching BBTL/HĐ; giá vs bên LQ; TM.,100% khoản TW/bất thường.,BBTL; HĐ; UNC; sổ TSCĐ.,Thường gặp: PL sai DT↔TN khác. Nâng cao: bán TS bên LQ trên giá.,ĐC PL/giá; bổ sung TM bên LQ.,TW-TB + Định tính
81,Chi phí khác (Mã 32),B02 – KQHĐKD,"GTCL TS TL, phạt, bồi thường…",Vouching; đủ khi có TN khác; cut-off.,100% khoản TL lớn.,BBTL; QĐ phạt; CT.,Ghi thiếu CP khác; che phạt.,Bổ sung CP; TM.,TW-TB
82,Lợi nhuận khác (Mã 40=31−32),B02 – KQHĐKD,KQ hoạt động khác.,Tỷ trọng |40|/|50|; nếu lớn → bền vững LN?.,PA.,B02.,Dùng 40 đạt KPI.,Công bố rõ; ĐC nếu sai.,TW-TB (định tính chất lượng LN)
83,Tổng LN KT trước thuế (Mã 50),B02 – KQHĐKD,Gốc tính thuế & điểm xuất phát B03 PP gián tiếp.,Khớp 911/TM; khớp B03 Mã 01 (PP GT).,KS tổng.,B02; B03; sổ cái.,Lệch B03/TM.,Đồng bộ 3 BC.,TW-Cao
84,Chi phí thuế TNDN hiện hành (Mã 51),B02 – KQHĐKD,Thuế phải nộp trên LN chịu thuế kỳ này.,Tax bridge LNKT→LNCT; thuế suất/ưu đãi; khớp 3334 & tờ khai.,100% bảng tính thuế.,Tờ khai QT; tax bridge; VB ưu đãi.,Thường gặp: không loại CP không được trừ. Nâng cao: khai ưu đãi khi mất ĐK.,ĐC thuế & phải nộp; TM rủi ro thuế.,TW-Cao
85,Chi phí thuế TNDN hoãn lại (Mã 52),B02 – KQHĐKD,Biến động DTA/DTL trong kỳ.,Khớp BĐ 262/341; DTA chỉ khi có LN CT tương lai.,100%.,Bảng tạm thời; KH LN.,Ghi thuế hoãn lại tạo LN.,ĐC 52 & B01.,TW-Cao
86,LNST TNDN (Mã 60),B02 – KQHĐKD,LN cuối; khớp 421b B01 (sau PP).,ĐC 60↔421b; ảnh hưởng EPS/cổ tức.,KS khớp liên BC.,B01; B02; bảng BĐ vốn.,Lệch vốn; ĐC thẳng VCSH bỏ qua B02.,ĐC đồng bộ 3 BC.,TW-Cao
87,Lưu chuyển tiền thuần HĐKD – CFO (Mã 20),B03 – LCTT,Tiền từ KD cốt lõi. CFO bền vững = chất lượng LN tốt.,PP TT: ĐC thu/chi tiền. PP GT: tái lập từ LN+phi tiền+ΔVLD. Khớp Δ131/140/311; PL đúng lãi/thuế.,Tái lập toàn bộ CFO; 100% ĐC lớn.,B01; B02; sổ KH/DP; sổ tiền; thư NH.,Cơ bản: sai dấu ΔVLD. Thường gặp: nhầm lãi vay vào CFF. Nâng cao: trì hoãn trả NCC thổi CFO; PL Capex thành HĐKD.,Sửa PL/ĐC; ĐG lại thanh khoản; TM bất thường.,TW-Cao + Định tính
88,Chỉ tiêu thành phần CFO – PP trực tiếp,B03 – LCTT,Chi tiết tạo Mã 20. VD: thu bán hàng; chi trả NCC.,ĐC sổ tiền theo 3 luồng; khớp DT & ΔPT; mua hàng & ΔPT/tồn.,Key dòng lớn; 100% T12.,Sổ 111/112; UNC; bảng kê thu.,Gộp sai nội dung; bỏ sót dòng.,Tách đúng chỉ tiêu; khớp CFO.,TW-TB đến Cao
89,Điều chỉnh LN→CFO (PP gián tiếp),B03 – LCTT,Cầu nối LN KT và tiền thật. VD: +KH; −tăng PT.,Từng dòng tick-and-tie về số đã KT; không ĐC khác không giải thích.,100% dòng B03 GT.,WP KH; DP; bảng BĐ VLD.,Thường gặp: quên loại lãi TL TS. Nâng cao: bịa ĐC để CFO khớp mục tiêu.,Tái lập B03; loại dòng không căn cứ.,TW-Cao
90,Lưu chuyển tiền HĐ đầu tư – CFI,B03 – LCTT,"Mua/bán TSCĐ, XDCB, ĐTTC, cho vay.",ĐC số tiền thực chi/thu (không lấy NG nếu còn nợ); vouching Capex.,100% dự án/TS lớn; mẫu TL.,HĐ mua TS; UNC; BBTL; sổ 211/242.,Thường gặp: ghi full NG như đã trả hết. Nâng cao: bán TS bên LQ tạo CFI giả.,Sửa số tiền & PL; TM GD phi tiền.,TW-Cao
91,Lưu chuyển tiền HĐ tài chính – CFF,B03 – LCTT,"Nhận vốn, đi vay, trả gốc, trả cổ tức.",Khớp BĐ 411/320/338; XN NH; NQ cổ tức↔tiền trả; GD phi tiền không vào CFF.,100% vay/vốn/cổ tức TW.,Thư NH; HĐTD; NQ ĐHĐCĐ; UNC.,Thường gặp: trả gốc xếp nhầm CFO. Nâng cao: vay mới ghi như thu KD.,PL lại CFF/CFO; TM hạn mức/đảo nợ.,TW-Cao
92,Ảnh hưởng tỷ giá & Tiền cuối kỳ,B03 – LCTT,FX trên SD tiền; tiền cuối = Mã 110 B01.,Tính lại FX; ĐC 110; ĐN tương đương tiền.,100% NT TW; ĐC bắt buộc 110.,Bảng TG; sổ tiền FX; B01.110.,Gộp FX vào 3 luồng; lệch tiền CK; nhầm TGCK dài vào tiền.,Tách FX; chỉnh 110/112/123; đồng bộ B01–B03.,TW-Cao
93,Tổng lưu chuyển tiền thuần trong kỳ,B03 – LCTT,CFO+CFI+CFF±FX = BĐ tiền.,Cộng kiểm; PA cơ cấu 3 luồng nhiều năm (LN đẹp–tiền yếu).,Toàn bộ BC + trend 3 năm.,B03 các năm; PA.,BC cân nhưng PL sai.,Sửa PL; nhấn mạnh R thanh khoản.,TW-Cao (định tính PA)
94,Đặc điểm HĐ & kỳ KT / ĐVT,B09 – Thuyết minh,"Mô tả ngành, chu kỳ KD, năm TC, ĐVT.",Khớp ĐKDN & thực tế; đổi kỳ KT phải TM ảnh hưởng.,Đọc 100% + ĐC hồ sơ PL.,ĐKDN; điều lệ; NQ đổi kỳ.,Mô tả sai ngành; đổi kỳ lệch so sánh.,Bổ sung/sửa TM.,TW-Thấp + Định tính nếu gây hiểu nhầm
95,Tuyên bố chuẩn mực & chế độ KT,B09 – Thuyết minh,VAS/TT200 hoặc IFRS.,Khớp khuôn khổ thực tế; lựa chọn CS có giải thích.,100%.,BCTC; VB chấp thuận.,Khai tuân thủ nhưng thực tế chệch chuẩn.,ĐC số liệu & tuyên bố.,Định tính – có thể TW
96,Các chính sách kế toán áp dụng,B09 – Thuyết minh,"Cách đo lường DT, tồn, KH, DP, FX, thuế…",CS đủ cụ thể; nhất quán sổ sách; đổi CS/ước tính phải công bố.,So khớp từng CS với thực tế HT (mẫu GD).,TM; sổ cái; NQ đổi CS.,Thường gặp: CS chung chung. Nâng cao: mô tả ≠ hạch toán; đổi CS ngầm tăng LN.,Viết lại CS; ĐC số liệu theo chuẩn.,TW-Cao (nếu lệch thực tế)
97,TM chi tiết các khoản mục B01/B02,B09 – Thuyết minh,Bảng số liệu chi tiết khớp BC chính. VD: aging PT; BĐ TSCĐ.,Tick-and-tie về B01/B02/B03; tổng = chỉ tiêu; đầu năm = cuối năm trước.,100% chỉ tiêu TW; mẫu nhỏ.,B09; B01/B02; sổ CT.,Cơ bản: lệch số. Thường gặp: thiếu cột SS. Nâng cao: chi tiết đẹp ≠ sổ gốc.,Sửa TM khớp; ĐC BC chính nếu sai.,TW-TB đến Cao
98,Giao dịch & số dư bên liên quan,B09 – Thuyết minh,"Công bố quan hệ, GD, SD, ĐK giá, lương BLD.",VSA 550; rà sổ cái; đọc HĐ; so biên LN nội bộ; XN SD.,100% bên LQ đã biết + tìm bên chưa CB.,ĐKDN các bên; HĐ; sổ CT; thư XN; NQ lương.,Thường gặp: liệt kê thiếu. Nâng cao: round-tripping; chuyển giá; rút vốn.,Bổ sung TM; ĐC giá/số liệu; ĐG gian lận.,TW-Cao + Định tính
99,Cam kết ngoại bảng & nợ tiềm tàng,B09 – Thuyết minh,"Bảo lãnh, kiện tụng, cam kết mua TS, L/C…",Thư luật sư; HĐTD; XN NH bảo lãnh; ĐG mất mát → DP hoặc TM.,100% BL/kiện TW.,Thư LS; HĐ BL; thư NH; hồ sơ kiện.,Thường gặp: quên CB. Nâng cao: che BL bên LQ; side letter.,Bổ sung TM; lập DP nếu gần chắc chắn.,TW-Cao + Định tính
100,Tài sản thế chấp / hạn chế sử dụng,B09 – Thuyết minh,"TSCĐ, tồn, PT, tiền phong tỏa thế chấp vay.",Khớp thư NH; DM TS thế chấp; GTCL.,100% vay có TSĐB.,HĐ thế chấp; thư NH; sổ TSCĐ.,Không CB → ĐG sai thanh khoản.,Bổ sung TM; ĐC 320/338.,TW-Cao (định tính)
101,"TM vay, LS, kỳ hạn, covenant",B09 – Thuyết minh,Chi tiết dư nợ; đến hạn; vi phạm ĐK vay.,HĐTD; thư NH; tuân thủ covenant; sự kiện sau kỳ.,100% vay TW.,HĐTD; PL covenant; thư NH; NQ đảo nợ.,Giấu vi phạm covenant; xếp quá hạn vẫn DH.,Tái PL vay; bổ sung TM; xét VSA 570.,TW-Cao + Định tính
102,Ước tính kế toán trọng yếu,B09 – Thuyết minh,"Cơ sở DP, thời gian KH, % HĐXD, GTHL…",ĐG thiên lệch 1 chiều VSA 540; back-test; độ nhạy.,100% ước tính TW.,Mô hình UT; dữ liệu LS; giải trình BGĐ.,UT luôn tăng LN; thiếu CB giả định.,ĐC UT về khoảng hợp lý; TM độ nhạy.,TW-Cao
103,Sự kiện sau ngày kết thúc kỳ KT,B09 – Thuyết minh,SK điều chỉnh vs không ĐC (VSA 560).,Thủ tục sau khóa sổ đến ngày PH BCTC/BCKT.,Rà soát đến ngày PH.,CT sau kỳ; thư LS; NQ HĐQT.,Bỏ qua SK ĐC giữ LN; không TM SK không ĐC nhưng TW.,ĐC số liệu hoặc bổ sung TM.,TW-Cao
104,Hoạt động liên tục,B09 – Thuyết minh,Khả năng tiếp tục HĐ ≥12 tháng.,"PA thanh khoản, lỗ LK, CFO, covenant, hỗ trợ CĐ/NH; KH BGĐ VSA 570.",ĐG toàn diện khi có dấu hiệu.,KH dòng tiền; thư hỗ trợ; HĐTD.,Che nghi ngờ HĐLK; lập sai cơ sở.,Bổ sung TM; đoạn nhấn mạnh/ý kiến; chuyển cơ sở lập nếu cần.,TW-Cao + Định tính
105,Thông tin bộ phận / tập trung rủi ro,B09 – Thuyết minh,DT theo SP/địa bàn; KH lớn.,Khớp DL quản trị; phát hiện chuyển lỗ bộ phận.,Bộ phận TW.,BC quản trị; TM bộ phận.,Che mảng lỗ; không CB phụ thuộc KH lớn.,Bổ sung TM; ĐC nếu PB sai.,TW-TB + Định tính
106,Thuế và ưu đãi thuế,B09 – Thuyết minh,Căn cứ ưu đãi; năm chưa QT; CL tạm thời CT.,ĐK ưu đãi còn thỏa?; R thanh tra thuế năm mở.,100% ưu đãi & tranh chấp.,GCN ưu đãi; QĐ dự án; hồ sơ thuế.,Khai ưu đãi khi mất ĐK; giấu QT treo.,ĐC thuế; TM rủi ro; DP nếu cần.,TW-Cao
107,Thù lao HĐQT/Ban TGĐ & TT quản lý,B09 – Thuyết minh,"CB thù lao, GD với người quản lý.",ĐC HĐ/NQ; đủ theo LDN/CK (nếu CTĐC).,100%.,NQ; HĐ; bảng lương LĐ.,CB thiếu/sai; che GD người có LQ.,Bổ sung TM; ĐG tuân thủ.,Định tính – thường TW với người dùng
108,Liên kết B01–B02–B03–B09,Tổng hợp 4 báo cáo,"BCTC là hệ thống nhất quán, không đẹp từng tờ.",KS: 270=440; 60↔421b; 50↔B03 GT; 110↔tiền cuối; TM tick-and-tie; bên LQ vs SD.,100% KS khớp.,Bộ BCTC; WP ĐC.,Chỉ chỉnh 1 BC; TM mâu thuẫn.,ĐC đồng bộ cả bộ BCTC.,TW-Cao
